,Name,ID,Description,TypeTags
COND_Blinded,Blinded,COND_Blinded,"A blinded creature can't see and automatically fails any ability check that requires sight. Attack rolls against the creature have advantage, and the creature's attack rolls have disadvantage.","(GameplayTags=((TagName=""Condition.Blinded""),(TagName=""Condition.Debuff"")))"
COND_Charmed,Charmed,COND_Charmed,A charmed creature can't attack the charmer or target the charmer with harmful abilities or magical effects. The charmer has advantage on any ability check to interact socially with the creature.,"(GameplayTags=((TagName=""Condition.Charmed""),(TagName=""Condition.Debuff"")))"
COND_Deafened,Deafened,COND_Deafened,A deafened creature can't hear and automatically fails any ability check that requires hearing.,"(GameplayTags=((TagName=""Condition.Deafened""),(TagName=""Condition.Debuff"")))"
COND_Frightened,Frightened,COND_Frightened,A frightened creature has disadvantage on ability checks and attack rolls while the source of its fear is within line of sight. The creature can't willingly move closer to the source of its fear.,"(GameplayTags=((TagName=""Condition.Frightened""),(TagName=""Condition.Debuff"")))"
COND_Grappled,Grappled,COND_Grappled,"A grappled creature's speed becomes 0, and it can't benefit from any bonus to its speed. The condition ends if the grappler is incapacitated or if an effect removes the grappled creature from the reach of the grappler or grappling effect.","(GameplayTags=((TagName=""Condition.Grappled""),(TagName=""Condition.Debuff"")))"
COND_Incapacitated,Incapacitated,COND_Incapacitated,An incapacitated creature can't take actions or reactions.,"(GameplayTags=((TagName=""Condition.Incapacitated""),(TagName=""Condition.Debuff"")))"
COND_Invisible,Invisible,COND_Invisible,"An invisible creature is impossible to see without the aid of magic or a special sense. For the purpose of hiding, the creature is heavily obscured. The creature's location can be detected by any noise it makes or any tracks it leaves. Attack rolls against the creature have disadvantage, and the creature's attack rolls have advantage.","(GameplayTags=((TagName=""Condition.Invisible"")))"
COND_Paralyzed,Paralyzed,COND_Paralyzed,A paralyzed creature is incapacitated and can't move or speak. The creature automatically fails Strength and Dexterity saving throws. Attack rolls against the creature have advantage. Any attack that hits the creature is a critical hit if the attacker is within 5 feet of the creature.,"(GameplayTags=((TagName=""Condition.Paralyzed""),(TagName=""Condition.Debuff"")))"
COND_Petrified,Petrified,COND_Petrified,"A petrified creature is transformed, along with any nonmagical object it is wearing or carrying, into a solid inanimate substance (usually stone). Its weight increases by a factor of ten, and it ceases aging. The creature is incapacitated, can't move or speak, and is unaware of its surroundings. Attack rolls against the creature have advantage. The creature automatically fails Strength and Dexterity saving throws. The creature has resistance to all damage. The creature is immune to poison and disease, although a poison or disease already in its system is suspended, not neutralized.","(GameplayTags=((TagName=""Condition.Petrified""),(TagName=""Condition.Debuff"")))"
COND_Poisoned,Poisoned,COND_Poisoned,A poisoned creature has disadvantage on attack rolls and ability checks.,"(GameplayTags=((TagName=""Condition.Poisoned""),(TagName=""Condition.Debuff"")))"
COND_Prone,Prone,COND_Prone,"A prone creature's only movement option is to crawl, unless it stands up and thereby ends the condition. The creature has disadvantage on attack rolls. An attack roll against the creature has advantage if the attacker is within 5 feet of the creature. Otherwise, the attack roll has disadvantage.","(GameplayTags=((TagName=""Condition.Prone""),(TagName=""Condition.Debuff"")))"
COND_Restrained,Restrained,COND_Restrained,"A restrained creature's speed becomes 0, and it can't benefit from any bonus to its speed. Attack rolls against the creature have advantage, and the creature's attack rolls have disadvantage. The creature has disadvantage on Dexterity saving throws.","(GameplayTags=((TagName=""Condition.Restrained""),(TagName=""Condition.Debuff"")))"
COND_Stunned,Stunned,COND_Stunned,"A stunned creature is incapacitated, can't move, and can speak only falteringly. The creature automatically fails Strength and Dexterity saving throws. Attack rolls against the creature have advantage.","(GameplayTags=((TagName=""Condition.Stunned""),(TagName=""Condition.Debuff"")))"
COND_Unconscious,Unconscious,COND_Unconscious,"An unconscious creature is incapacitated, can't move or speak, and is unaware of its surroundings. The creature drops whatever it's holding and falls prone. The creature automatically fails Strength and Dexterity saving throws. Attack rolls against the creature have advantage. Any attack that hits the creature is a critical hit if the attacker is within 5 feet of the creature.","(GameplayTags=((TagName=""Condition.Unconscious""),(TagName=""Condition.Debuff"")))"
