,Name,ID,Description,TypeTags
DMG_Fire,Fire,DMG_Fire,Fire damage burns and ignites targets,"(GameplayTags=((TagName=""DamageType.Fire"")))"
DMG_Cold,Cold,DMG_Cold,Cold damage freezes and slows targets,"(GameplayTags=((TagName=""DamageType.Cold"")))"
DMG_Lightning,Lightning,DMG_Lightning,Lightning damage shocks and electrifies targets,"(GameplayTags=((TagName=""DamageType.Lightning"")))"
DMG_Poison,Poison,DMG_Poison,Poison damage sickens and weakens targets,"(GameplayTags=((TagName=""DamageType.Poison"")))"
DMG_Psychic,Psychic,DMG_Psychic,Psychic damage attacks the mind and consciousness,"(GameplayTags=((TagName=""DamageType.Psychic"")))"
DMG_Radiant,Radiant,DMG_Radiant,Radiant damage is pure divine or positive energy,"(GameplayTags=((TagName=""DamageType.Radiant"")))"
DMG_Necrotic,Necrotic,DMG_Necrotic,Necrotic damage withers matter and even the soul,"(GameplayTags=((TagName=""DamageType.Necrotic"")))"
DMG_Acid,Acid,DMG_Acid,Acid damage corrodes and dissolves matter,"(GameplayTags=((TagName=""DamageType.Acid"")))"
DMG_Force,Force,DMG_Force,Force damage is pure magical energy focused into a damaging form,"(GameplayTags=((TagName=""DamageType.Force"")))"
DMG_Thunder,Thunder,DMG_Thunder,Thunder damage is a sound-based attack that can deafen,"(GameplayTags=((TagName=""DamageType.Thunder"")))"
