,Name,ID,TypeTags,Description,LevelUnlocked,FeatureType,FeatureData,AvailableChoices
Feat_Alert,Alert,Feat_Alert,"(GameplayTags=((TagName=""Feat.Alert""),(TagName=""Feat.Combat"")))","Always on the lookout for danger, you gain the following benefits: You gain a +5 bonus to initiative. You can't be surprised while you are conscious. Other creatures don't gain advantage on attack rolls against you as a result of being hidden from you.",4,Feat,"{'InitiativeBonus': '5', 'CannotBeSurprised': 'true', 'NoAdvantageFromHidden': 'true'}",
Feat_Athlete,Athlete,Feat_Athlete,"(GameplayTags=((TagName=""Feat.Athlete"")))","You have undergone extensive physical training to gain the following benefits: When you are prone, standing up uses only 5 feet of your movement. Climbing doesn't halve your speed. You can make a running long jump or a running high jump after moving only 5 feet on foot, rather than 10 feet.",4,Feat,"{'ProneMovement': '5', 'ClimbingSpeed': 'full', 'JumpDistance': '5'}",
Feat_Actor,Actor,Feat_Actor,"(GameplayTags=((TagName=""Feat.Actor""),(TagName=""Feat.Social"")))","Skilled at mimicry and dramatics, you gain the following benefits: You have advantage on Charisma (Deception) and Charisma (Performance) checks when trying to pass yourself off as a different person. You can mimic the speech of another person or the sounds made by other creatures. You must have heard the person speaking, or heard the creature make the sound, for at least 1 minute. A successful Wisdom (Insight) check contested by your Charisma (Deception) check allows a listener to determine that the effect is faked.",4,Feat,"{'DeceptionAdvantage': 'true', 'PerformanceAdvantage': 'true', 'Mimicry': 'true'}",
Feat_Charger,Charger,Feat_Charger,"(GameplayTags=((TagName=""Feat.Charger"")))","When you use your action to Dash, you can use a bonus action to make one melee weapon attack or to shove a creature. If you move at least 10 feet in a straight line immediately before taking this bonus action, you either gain a +5 bonus to the attack's damage roll (if you chose to make a melee attack) or push the target up to 10 feet away from you (if you chose instead to shove).",4,Feat,"{'DashAttack': 'true', 'DamageBonus': '5', 'ShoveDistance': '10'}",
Feat_CrossbowExpert,Crossbow Expert,Feat_CrossbowExpert,"(GameplayTags=((TagName=""Feat.CrossbowExpert"")))","Thanks to extensive practice with the crossbow, you gain the following benefits: You ignore the loading quality of crossbows with which you are proficient. Being within 5 feet of a hostile creature doesn't impose disadvantage on your ranged attack rolls. When you use the Attack action and attack with a one-handed weapon, you can use a bonus action to attack with a loaded hand crossbow you are holding.",4,Feat,"{'IgnoreLoading': 'true', 'NoDisadvantageCloseRange': 'true', 'BonusActionHandCrossbow': 'true'}",
Feat_DefensiveDuelist,Defensive Duelist,Feat_DefensiveDuelist,"(GameplayTags=((TagName=""Feat.DefensiveDuelist"")))","When you are wielding a finesse weapon with which you are proficient and another creature hits you with a melee attack, you can use your reaction to add your proficiency bonus to your AC for that attack, potentially causing the attack to miss you.",4,Feat,"{'Prerequisites': 'Dexterity 13', 'ReactionACBonus': 'proficiency', 'RequiresFinesseWeapon': 'true'}",
Feat_DualWielder,Dual Wielder,Feat_DualWielder,"(GameplayTags=((TagName=""Feat.DualWielder"")))","You master fighting with two weapons, gaining the following benefits: You gain a +1 bonus to AC while you are wielding a separate melee weapon in each hand. You can use two-weapon fighting even when the one-handed melee weapons you are wielding aren't light. You can draw or stow two one-handed weapons when you would normally be able to draw or stow only one.",4,Feat,"{'ACBonus': '1', 'TwoWeaponFighting': 'true', 'DrawStowTwoWeapons': 'true'}",
Feat_DungeonDelver,Dungeon Delver,Feat_DungeonDelver,"(GameplayTags=((TagName=""Feat.DungeonDelver"")))","Alert to the hidden traps and secret doors found in many dungeons, you gain the following benefits: You have advantage on Wisdom (Perception) and Intelligence (Investigation) checks made to detect the presence of secret doors. You have advantage on saving throws made to avoid or resist traps. You have resistance to the damage dealt by traps. Traveling at a fast pace doesn't impose the normal -5 penalty on your passive Wisdom (Perception) score.",4,Feat,"{'TrapAdvantage': 'true', 'TrapResistance': 'true', 'SecretDoorAdvantage': 'true', 'NoFastPacePenalty': 'true'}",
Feat_Durable,Durable,Feat_Durable,"(GameplayTags=((TagName=""Feat.Durable"")))","Hardy and resilient, you gain the following benefits: When you roll a Hit Die to regain hit points, the minimum number of hit points you regain from the roll equals twice your Constitution modifier (minimum of 2). You gain proficiency in Constitution saving throws.",4,Feat,"{'ConstitutionSavingThrow': 'true', 'MinHitDieHealing': '2xCON (min 2)'}",
Feat_ElementalAdept,Elemental Adept,Feat_ElementalAdept,"(GameplayTags=((TagName=""Feat.ElementalAdept"")))","When you gain this feat, choose one of the following damage types: acid, cold, fire, lightning, or thunder. Spells you cast ignore resistance to damage of the chosen type. In addition, when you roll damage for a spell you cast that deals damage of that type, you can treat any 1 on a damage die as a 2.",4,Feat,"{'Prerequisites': 'Ability to cast at least one spell', 'IgnoreResistance': 'true', 'MinimumDamage': '2', 'DamageTypes': 'acid,cold,fire,lightning,thunder'}",
Feat_Grappler,Grappler,Feat_Grappler,"(GameplayTags=((TagName=""Feat.Grappler"")))","You've developed the skills necessary to hold your own in close-quarters grappling. You gain the following benefits: You have advantage on attack rolls against a creature you are grappling. You can use your action to try to pin a creature grappled by you. To do so, make another grapple check. If you succeed, you and the creature are both restrained until the grapple ends.",4,Feat,"{'Prerequisites': 'Strength 13', 'GrappleAdvantage': 'true', 'PinAction': 'true'}",
Feat_GreatWeaponMaster,Great Weapon Master,Feat_GreatWeaponMaster,"(GameplayTags=((TagName=""Feat.GreatWeaponMaster"")))","You've learned to put the weight of a weapon to your advantage, letting its momentum empower your strikes. You gain the following benefits: On your turn, when you score a critical hit with a melee weapon or reduce a creature to 0 hit points with one, you can make one melee weapon attack as a bonus action. Before you make a melee attack with a heavy weapon that you are proficient with, you can choose to take a -5 penalty to the attack roll. If the attack hits, you add +10 to the attack's damage.",4,Feat,"{'HeavyWeaponBonus': 'true', 'PowerAttack': 'true', 'BonusActionOnCritOrKill': 'true'}",
Feat_Healer,Healer,Feat_Healer,"(GameplayTags=((TagName=""Feat.Healer"")))","You are an able physician, allowing you to mend wounds quickly and get your allies back in the fight. You gain the following benefits: When you use a healer's kit to stabilize a dying creature, that creature also regains 1 hit point. As an action, you can spend one use of a healer's kit to tend to a creature and restore 1d6 + 4 hit points to it, plus additional hit points equal to the creature's maximum number of Hit Dice. The creature can't regain hit points from this feat again until it finishes a short or long rest.",4,Feat,"{'StabilizeHeal': '1', 'ActionHeal': '1d6+4+HD'}",
Feat_HeavyArmorMaster,Heavy Armor Master,Feat_HeavyArmorMaster,"(GameplayTags=((TagName=""Feat.HeavyArmorMaster"")))","You can use your armor to deflect strikes that would kill others. You gain the following benefits: Increase your Strength score by 1, to a maximum of 20. While you are wearing heavy armor, bludgeoning, piercing, and slashing damage that you take from nonmagical weapons is reduced by 3.",4,Feat,"{'Prerequisites': 'Proficiency with heavy armor', 'StrengthBonus': '1', 'DamageReduction': '3'}",
Feat_InspiringLeader,Inspiring Leader,Feat_InspiringLeader,"(GameplayTags=((TagName=""Feat.InspiringLeader"")))","You can spend 10 minutes inspiring your companions, shoring up their resolve to fight. When you do so, choose up to six friendly creatures (which can include yourself) within 30 feet of you who can see or hear you and who can understand you. Each creature can gain temporary hit points equal to your level + your Charisma modifier. A creature can't gain temporary hit points from this feat again until it has finished a short or long rest.",4,Feat,"{'Prerequisites': 'Charisma 13', 'TemporaryHP': 'level+charisma', 'Targets': '6', 'Range': '30'}",
