,Name,ID,Description,TypeTags,AbilityScoreImprovements,Size,BaseSpeed,TraitHandles,SubraceHandles,LanguageHandles,IconTexture
RACE_Dwarf,Dwarf,RACE_Dwarf,Bold and hardy dwarves are known as skilled warriors miners and workers of stone and metal,"(GameplayTags=((TagName=""Race.Dwarf"")))","((AbilityID=""ABL_Constitution"",Bonus=2))",Medium,25,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Darkvision""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_DwarvenResilience""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Stonecunning""))","((DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_HillDwarf""),(DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_MountainDwarf""))","((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""),(DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Dwarvish""))",
RACE_HillDwarf,Hill Dwarf,RACE_HillDwarf,As a hill dwarf you have keen senses deep intuition and remarkable resilience,"(GameplayTags=((TagName=""Race.Dwarf""),(TagName=""Race.Subrace.HillDwarf"")))","((AbilityID=""ABL_Wisdom"",Bonus=1))",Medium,25,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_DwarvenToughness""))",,,
RACE_MountainDwarf,Mountain Dwarf,RACE_MountainDwarf,As a mountain dwarf you are strong and hardy accustomed to a difficult life in rugged terrain,"(GameplayTags=((TagName=""Race.Dwarf""),(TagName=""Race.Subrace.MountainDwarf"")))","((AbilityID=""ABL_Strength"",Bonus=2))",Medium,25,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_DwarvenArmorTraining""))",,,
RACE_Elf,Elf,RACE_Elf,Elves are a magical people of otherworldly grace living in the world but not entirely part of it,"(GameplayTags=((TagName=""Race.Elf"")))","((AbilityID=""ABL_Dexterity"",Bonus=2))",Medium,30,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Darkvision""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_FeyAncestry""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Trance""))","((DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_HighElf""),(DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_WoodElf""),(DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_Drow""))","((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""),(DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Elvish""))",
RACE_HighElf,High Elf,RACE_HighElf,As a high elf you have a keen mind and a mastery of at least the basics of magic,"(GameplayTags=((TagName=""Race.Elf""),(TagName=""Race.Subrace.HighElf"")))","((AbilityID=""ABL_Intelligence"",Bonus=1))",Medium,30,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_ElfWeaponTraining""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Cantrip""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_ExtraLanguage""))",,,
RACE_WoodElf,Wood Elf,RACE_WoodElf,As a wood elf you have keen senses and intuition and your fleet feet carry you quickly through your native forests,"(GameplayTags=((TagName=""Race.Elf""),(TagName=""Race.Subrace.WoodElf"")))","((AbilityID=""ABL_Wisdom"",Bonus=1))",Medium,35,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_ElfWeaponTraining""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_FleetOfFoot""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_MaskOfTheWild""))",,,
RACE_Drow,Drow,RACE_Drow,Descended from an earlier subrace of dark-skinned elves the drow have a reputation for skill in combat magic and stealth,"(GameplayTags=((TagName=""Race.Elf""),(TagName=""Race.Subrace.Drow"")))","((AbilityID=""ABL_Charisma"",Bonus=1))",Medium,30,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_SuperiorDarkvision""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_SunlightSensitivity""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_DrowMagic""))",,,
RACE_Halfling,Halfling,RACE_Halfling,The diminutive halflings survive in a world full of larger creatures by avoiding notice or barring that avoiding offense,"(GameplayTags=((TagName=""Race.Halfling"")))","((AbilityID=""ABL_Dexterity"",Bonus=2))",Small,25,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Lucky""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_Brave""),(DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_HalflingNimbleness""))","((DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_Lightfoot""),(DataTable=""/Game/Data/RaceDataTable"",RowName=""RACE_Stout""))","((DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Common""),(DataTable=""/Game/Data/LanguageDataTable"",RowName=""PL_Halfling""))",
RACE_Lightfoot,Lightfoot,RACE_Lightfoot,As a lightfoot halfling you can easily hide from notice even using other people as cover,"(GameplayTags=((TagName=""Race.Halfling""),(TagName=""Race.Subrace.Lightfoot"")))","((AbilityID=""ABL_Charisma"",Bonus=1))",Small,25,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_NaturallyStealthy""))",,,
RACE_Stout,Stout,RACE_Stout,As a stout halfling you are hardier than average and have some resistance to poison,"(GameplayTags=((TagName=""Race.Halfling""),(TagName=""Race.Subrace.Stout"")))","((AbilityID=""ABL_Constitution"",Bonus=1))",Small,25,"((DataTable=""/Game/Data/TraitDataTable"",RowName=""TR_StoutResilience""))",,,
